municipio_id,nombre,year
3117,SANET Y NEGRALS,1990
3119,SANT JOAN D'ALACANT,2003
3121,SANTA POLA,1999
3123,SAX,2003
3125,SENIJA,1985
3127,TARBENA,1989
3128,TEULADA,1996
3124,SELLA,2007
3129,TIBI,2005
3136,VALL DE GALLINERA,2014
3131,TORMOS,2008
3130,TOLLOS,1990
3132,TORREMANZANAS / LA TORRE DE,2003
3133,TORREVIEJA,2004
3139,VILLAJOYOSA / LA VILA JOIOSA,2006
3140,VILLENA,1996
3081,XALO,1989
4002,ABRUCENA,2005
4001,ABLA,2005
4004,ALBANCHEZ,2007
4003,ADRA,2013
4005,ALBOLODUY,2012
4006,ALBOX,2002
4007,ALCOLEA,2009
4008,ALCONTAR,2006
4009,ALCUDIA DE MONTEAGUD,2011
4010,ALHABIA,2012
4011,ALHAMA DE ALMERIA,2004
4012,ALICUN,2012
4013,ALMERIA,2008
4014,ALMOCITA,2012
4015,ALSODUX,2012
4016,ANTAS,2008
4017,ARBOLEAS,2004
4018,ARMUÑA DEL ALMANZORA,2006
4019,BACARES,2006
4904,BALANEGRA,2010
4020,BAYARCAL,2010
4021,BAYARQUE,2006
4022,BEDAR,2007
4023,BEIRES,2012
4026,BENITAGLA,2011
4024,BENAHADUX,2005
4027,BENIZALON,2011
4028,BENTARIQUE,2010
4029,BERJA,2010
4031,CANTORIA,2006
4030,CANJAYAR,2008
4032,CARBONERAS,2002
4033,CASTRO DE FILABRES,2009
4037,CHIRIVEL,2007
4036,CHERCOS,2007
4034,COBDAR,2007
4035,CUEVAS DEL ALMANZORA,1999
4044,FINES,2003
4038,DALIAS,2010
4902,EL EJIDO,2004
4041,ENIX,2009
4043,FELIX,2001
4045,FIÑANA,2005
4046,FONDON,2001
4047,GADOR,2005
4049,GARRUCHA,2009
4050,GERGAL,2007
4051,HUECIJA,2012
4052,HUERCAL DE ALMERIA,2002
4053,HUERCAL-OVERA,2013
4054,ILLAR,2012
4055,INSTINCION,2012
4058,LIJAR,2007
4903,LA MOJONERA,2006
4056,LAROYA,2006
4901,LAS TRES VILLAS,2005
4057,LAUJAR DE ANDARAX,2009
4048,LOS GALLARDOS,2007
4059,LUBRIN,2009
4060,LUCAINENA DE LAS TORRES,2009
4061,LUCAR,2006
4062,MACAEL,2000
4063,MARIA,1999
4064,MOJACAR,2014
4065,NACIMIENTO,2005
4066,NIJAR,2010
4067,OHANES,2009
4068,OLULA DE CASTRO,2011
4069,OLULA DEL RIO,2003
4070,ORIA,2006
4071,PADULES,2009
4072,PARTALOA,2006
4073,PATERNA DEL RIO,2012
4074,PECHINA,2013
4075,PULPI,2009
4076,PURCHENA,2006
4077,RAGOL,2011
4078,RIOJA,2005
4079,ROQUETAS DE MAR,2012
4080,SANTA CRUZ,2012
4081,SANTA FE DE MONDUJAR,2005
4082,SENES,2011
4083,SERON,2006
4084,SIERRO,2006
4085,SOMONTIN,2006
4086,SORBAS,2009
4087,SUFLI,2006
4088,TABERNAS,2005
4089,TABERNO,1996
4090,TAHAL,2011
4091,TERQUE,2008
4092,TIJOLA,2006
4093,TURRE,1999
4095,ULEILA DEL CAMPO,2009
4096,URRACAL,2006
4094,TURRILLAS,2011
4097,VELEFIQUE,2012
4098,VELEZ BLANCO,2007
4099,VELEZ RUBIO,1995
4101,VIATOR,2003
4100,VERA,2010
4102,VICAR,2008
4103,ZURGENA,2006
5001,ADANERO,1989
5007,ALDEANUEVA DE SANTA CRUZ,1987
5005,ALBORNOS,1990
5008,ALDEASECA,1989
5016,AREVALO,2000
5017,AVEINTE,1990
5012,AMAVIDA,1990
5014,ARENAS DE SAN PEDRO,1995
5015,AREVALILLO,2013
5018,AVELLANEDA,1987
5019,AVILA,2010
5022,BARRACO,1996
5023,BARROMAN,2014
5024,BECEDAS,2011
5025,BECEDILLAS,1990
5026,BERCIAL DE ZAPARDIEL,1990
5029,BERNUY-ZAPARDIEL,1990
5030,BERROCALEJO DE ARAGONA,2008
5033,BLASCOMILLAN,1990
5034,BLASCONUÑO DE MATACABRAS,1990
5035,BLASCOSANCHO,2009
5037,BOHOYO,2008
5038,BONILLA DE LA SIERRA,1990
5039,BRABOS,1990
5040,BULARROS,2009
5041,BURGOHONDO,2009
5042,CABEZAS DE ALAMBRE,1990
5043,CABEZAS DEL POZO,1990
5044,CABEZAS DEL VILLAR,1990
5045,CABIZUELA,1990
5046,CANALES,1990
5047,CANDELEDA,2005
5048,CANTIVEROS,1990
5049,CARDEÑOSA,2007
5052,CASAS DEL PUERTO,1990
5053,CASASOLA,1990
5054,CASAVIEJA,1996
5055,CASILLAS,1996
5056,CASTELLANOS DEL ZAPARDIEL,1990
5057,CEBREROS,1995
5058,CEPEDA LA MORA,1990
5067,CHAMARTIN,1990
5059,CILLAN,2012
5060,CISLA,1990
5062,COLLADO DE CONTRERAS,1990
5064,CONSTANZANA,1990
5065,CRESPOS,2016
5063,COLLADO DEL MIRON,1989
5066,CUEVAS DEL VALLE,2002
5021,EL BARCO DE AVILA,1999
5903,DIEGO DEL CARPIO,2013
5069,DONJIMENO,1990
5070,DONVIDAS,1989
5013,EL ARENAL,2011
5036,EL BOHODON,1989
5076,EL FRESNO,2006
5093,EL HERRADON,2002
5100,EL HORNILLO,1996
5102,EL HOYO DE PINARES,2007
5112,EL LOSAR,2012
5129,EL MIRON,1989
5175,EL OSO,2014
5180,EL PARRAL,1990
5241,EL TIEMBLO,2001
5072,ESPINOSA DE LOS CABALLEROS,2012
5073,FLORES DE AVILA,1990
5074,FONTIVEROS,2001
5075,FRESNEDILLA,2006
5077,FUENTE EL SAUZ,1990
5078,FUENTES DE AÑO,1990
5079,GALLEGOS DE ALTAMIROS,1990
5080,GALLEGOS DE SOBRINOS,1990
5081,GARGANTA DEL VILLAR,1990
5082,GAVILANES,1996
5083,GEMUÑO,2007
5084,GILBUENA,1989
5085,GILGARCIA,1989
5086,GIMIALCON,1990
5087,GOTARRENDURA,2009
5088,GRANDES Y SAN MARTIN,1990
5089,GUISANDO,2011
5090,GUTIERRE MUÑOZ,2013
5092,HERNANSANCHO,2015
5094,HERRERO DE SUSO,1990
5095,HIGUERA DE LAS DUEÑAS,2006
5099,HORCAJO DE LAS TORRES,1990
5101,HOYOCASERO,2005
5103,HOYORREDONDO,1989
5106,HOYOS DE MIGUEL MUÑOZ,1990
5104,HOYOS DEL COLLADO,2006
5105,HOYOS DEL ESPINO,2006
5108,JUNCIANA,1989
5107,HURTUMPASCUAL,1990
5002,LA ADRADA,1996
5010,LA ALDEHUELA,2004
5051,LA CARRERA,2016
5061,LA COLILLA,2012
5096,LA HIJA DE DIOS,1990
5097,LA HORCAJADA,1989
5247,LA TORRE,1989
5109,LANGA,1990
5110,LANZAHITA,1996
5232,LA SERRADA,2012
5027,LAS BERLANAS,2005
5168,LAS NAVAS DEL MARQUES,1995
5113,LOS LLANOS DE TORMES,1989
5114,MADRIGAL DE LAS ALTAS TORRES,2014
5115,MAELLO,2000
5116,MALPARTIDA DE CORNEJA,1989
5117,MAMBLAS,2012
5118,MANCERA DE ARRIBA,1990
5119,MANJABALAGO Y ORTIGOSA RIOALMA,1990
5120,MARLIN,1990
5121,MARTIHERRERO,1990
5122,MARTINEZ,2013
5123,MEDIANA DE VOLTOYA,1989
5124,MEDINILLA,2008
5125,MENGAMUÑOZ,1990
5126,MESEGAR DE CORNEJA,1990
5127,MIJARES,2008
5128,MINGORRIA,2004
5130,MIRONCILLO,2013
5131,MIRUEÑA DE LOS INFANZONES,1990
5132,MOMBELTRAN,2002
5138,MUÑOGALINDO,2014
5133,MONSALUPE,1989
5134,MORALEJA DE MATACABRAS,1990
5135,MUÑANA,2013
5136,MUÑICO,1990
5139,MUÑOGRANDE,1990
5140,MUÑOMER DEL PECO,1990
5142,MUÑOSANCHO,1990
5141,MUÑOPEPE,2013
5143,MUÑOTELLO,1990
5144,NARRILLOS DEL ALAMO,1989
5145,NARRILLOS DEL REBOLLAR,1990
5149,NARROS DE SALDUEÑA,1990
5147,NARROS DEL CASTILLO,1990
5148,NARROS DEL PUERTO,1990
5152,NAVA DE AREVALO,2009
5153,NAVA DEL BARCO,1989
5151,NAVACEPEDILLA DE CORNEJA,1990
5154,NAVADIJOS,1990
5155,NAVAESCURIAL,1990
5156,NAVAHONDILLA,1999
5157,NAVALACRUZ,2009
5158,NAVALMORAL,2005
5159,NAVALONGUILLA,1989
5160,NAVALOSA,2006
5161,NAVALPERAL DE PINARES,1996
5162,NAVALPERAL DE TORMES,2007
5163,NAVALUENGA,1995
